     88/99     3.19G   0.02891  0.008755         0   0.03767        16       640    0.8047    0.5818    0.6702    0.3951    0.0582   0.01705         0
     89/99     3.19G   0.02534  0.008422         0   0.03376         9       640    0.8141    0.5591    0.6669    0.3904   0.05822   0.01713         0
     90/99     3.19G   0.02756  0.009018         0   0.03657        11       640    0.8049       0.6    0.6835     0.405   0.05796   0.01705         0
     91/99     3.19G   0.02637  0.008786         0   0.03515        11       640    0.7693    0.5773     0.658    0.3876   0.05807   0.01707         0
     92/99     3.19G   0.02567  0.007786         0   0.03346        11       640    0.8071    0.5545    0.6543    0.3909   0.05785    0.0171         0
     93/99     3.19G   0.02716   0.00772         0   0.03488         5       640    0.8587    0.5273    0.6536    0.3891   0.05796   0.01709         0
     94/99     3.19G   0.02711  0.008983         0    0.0361         3       640    0.8119      0.55    0.6563    0.3863   0.05829   0.01702         0
     95/99     3.19G   0.02816  0.008827         0   0.03699        11       640     0.774    0.5449    0.6324    0.3666   0.05898   0.01723         0
     96/99     3.19G   0.02692  0.008128         0   0.03505         9       640    0.7693    0.5636    0.6599    0.3819   0.05886    0.0169         0
     97/99     3.19G   0.02784  0.008706         0   0.03655        10       640    0.8205    0.5818    0.6827    0.3922   0.05902    0.0168         0
     98/99     3.19G   0.02704  0.008278         0   0.03531         6       640    0.7983    0.5955     0.689    0.3996   0.05837   0.01674         0
     99/99     3.19G   0.02581  0.007997         0    0.0338         8       640    0.8467    0.5864    0.6942    0.4028   0.05779   0.01671         0
